0. ns,00101101011010001101011001101111
6.25 ns,01111011000001010001001011000111
12.5 ns,00100111001000101101111110111110
18.75 ns,01011110110111110101111100101111
25. ns,11110110010011100000011000010110
31.25 ns,01000101101001100111010001011010
37.5 ns,00111010101111110000011010011110
43.75 ns,00101111011000101001110110110011
50. ns,00000010110110000000110101100000
56.25 ns,11111011101111011100010010001101
62.5 ns,00011100111111010101110101011111
68.75 ns,10000110111101000000001101000011
75. ns,11010111011111000001110100010011
81.25 ns,01011101010111010110000100100000
87.5 ns,11101000100010101000000101001101
93.75 ns,10111001001110011101111011100100
100. ns,01010110001100000001010110011110
106.25 ns,01100111011011000000111001111110
112.5 ns,11110000111101101011111100100000
118.75 ns,01000001111111111101001100100110
125. ns,11101110111111111100110111001010
131.25 ns,01110101101111001000100000111110
137.5 ns,10011011101111000100010011101010
143.75 ns,00000111001000111110100011001110
150. ns,00011000001011000010110011000000
156.25 ns,00110010110110000010011100000011
162.5 ns,01011010010001001000111100101011
168.75 ns,01001001011110001001100000101110
175. ns,00100000011101011001001011110001
181.25 ns,00001101100110010011101101110100
187.5 ns,11011000100010111000100000000001
193.75 ns,11000110011101010110001010011100
200. ns,00111100011010010110110010001001
206.25 ns,10101001000111100110000000111010
212.5 ns,00010010010101000001111111001100
218.75 ns,10111101110110100101000110000011
225. ns,11110110101010100011100001100011
231.25 ns,11000101100000010111111110010110
237.5 ns,01001100110011100001100101000010
243.75 ns,10110011111010100100001101111101
250. ns,11100101010110110000110111000111
256.25 ns,11111100101001111101111101000001
262.5 ns,11011110000111100000101101011011
268.75 ns,01111000001101001001000011011101
275. ns,10000010110100111101011100100010
281.25 ns,10000111000110011000111110001100
287.5 ns,11101001011000010000101010011001
293.75 ns,10011001110100110101000111101101
300. ns,10100110000101001001011000100101
306.25 ns,10111010100100010110000110010110
312.5 ns,11101000011011100001001110011001
318.75 ns,11000000011001111111011000100001
325. ns,11011111010011011001010101100110
331.25 ns,00000101110111100000111011011100
337.5 ns,10001111111101110110111001101110
343.75 ns,11101000110001000100010100101100
350. ns,10000011101101100001000000000010
356.25 ns,00100001001111111000100010011000
362.5 ns,00001011100001101110111010010101
368.75 ns,01011010010100001111110101000111
375. ns,11011110011111000011011011011101
381.25 ns,01011000000111100001111001101001
387.5 ns,11010001010001001000000000010100
393.75 ns,01110111001101001111001101000010
400. ns,11111101001011001110010111110000
406.25 ns,10011111001110001000010110001001
412.5 ns,11100111010010000101101000011101
418.75 ns,11000010100111000010101100001000
425. ns,00000101110000011110010111010111
431.25 ns,11100111111000100011001010110001
437.5 ns,01101101110010110101111000100100
443.75 ns,00100110100001011010110001101111
450. ns,01101000101010010010100010101110
456.25 ns,01100101110011011100100011011100
462.5 ns,01001111011010101101111101000111
468.75 ns,11000010000000110001111011111001
475. ns,01010101111110100111101011000110
481.25 ns,11010000011001001000011101100000
487.5 ns,11011011101000111001011001010001
493.75 ns,01011011010010001110110011110000
500. ns,11100001100100111011101101011001
506.25 ns,10000001111001111011100010000111
512.5 ns,10001101011011000010100011111011
518.75 ns,11001010110110010111100001010111
525. ns,10000111000001100111010110010100
531.25 ns,11100001001000111100100110001111
537.5 ns,10110011111011101011110110110100
543.75 ns,01010011100000011000100001011011
550. ns,10011010010010000000111100101010
556.25 ns,00100001100001000000100000110000
562.5 ns,11100001111100101111111101101111
568.75 ns,10000011011111111100111111011101
575. ns,00010001001001110100011110001000
581.25 ns,11001111000010001110111100011110
587.5 ns,00101101000111001010111100101001
593.75 ns,11101101001111111001100010111111
600. ns,01001100001100100110111101010101
606.25 ns,01110000111110111010010001101100
612.5 ns,01101000111011011010101101100001
618.75 ns,01011011000000001001111100111011
