0 ns;00000000000000000000000000000000
6.25 ns;00000000000000000000000000000000
12.5 ns;00000000000000000000000000000001
18.75 ns;00000000000000000000000000000010
25 ns;00000000000000000000000000000011
31.25 ns;00000000000000000000000000000100
37.5 ns;00000000000000000000000000000101
43.75 ns;00000000000000000000000000000110
50 ns;00000000000000000000000000000111
56.25 ns;00000000000000000000000000001000
62.5 ns;00000000000000000000000000001001
68.75 ns;00000000000000000000000000001010
75 ns;00000000000000000000000000001011
81.25 ns;00000000000000000000000000001100
87.5 ns;00000000000000000000000000001101
93.75 ns;00000000000000000000000000001110
100 ns;00000000000000000000000000001111
106.25 ns;00000000000000000000000000001111
112.5 ns;00000000000000000000000000001111
118.75 ns;00000000000000000000000000001111
125 ns;00000000000000000000000000001111
131.25 ns;00000000000000000000000000001111
137.5 ns;00000000000000000000000000001111
143.75 ns;00000000000000000000000000010000
150 ns;00000000000000000000000000010001
156.25 ns;00000000000000000000000000010001
162.5 ns;00000000000000000000000000010001
168.75 ns;00000000000000000000000000010001
175 ns;00000000000000000000000000010001
181.25 ns;00000000000000000000000000010001
187.5 ns;00000000000000000000000000010001
193.75 ns;00000000000000000000000000010010
200 ns;00000000000000000000000000010011
206.25 ns;00000000000000000000000000010100
212.5 ns;00000000000000000000000000010101
218.75 ns;00000000000000000000000000010110
225 ns;00000000000000000000000000010111
231.25 ns;00000000000000000000000000011000
237.5 ns;00000000000000000000000000011001
243.75 ns;00000000000000000000000000011010
250 ns;00000000000000000000000000011011
256.25 ns;00000000000000000000000000011100
262.5 ns;00000000000000000000000000011101
268.75 ns;00000000000000000000000000011110
275 ns;00000000000000000000000000011111
281.25 ns;00000000000000000000000000100000
287.5 ns;00000000000000000000000000100001
293.75 ns;00000000000000000000000000100010
300 ns;00000000000000000000000000100011
306.25 ns;00000000000000000000000000100100
312.5 ns;00000000000000000000000000100101
318.75 ns;00000000000000000000000000100110
325 ns;00000000000000000000000000100111
331.25 ns;00000000000000000000000000101000
337.5 ns;00000000000000000000000000101001
343.75 ns;00000000000000000000000000101010
350 ns;00000000000000000000000000101011
356.25 ns;00000000000000000000000000101100
362.5 ns;00000000000000000000000000101101
368.75 ns;00000000000000000000000000101110
375 ns;00000000000000000000000000101111
381.25 ns;00000000000000000000000000110000
387.5 ns;00000000000000000000000000110001
393.75 ns;00000000000000000000000000110010
400 ns;00000000000000000000000000110011
406.25 ns;00000000000000000000000000110100
412.5 ns;00000000000000000000000000110101
418.75 ns;00000000000000000000000000110110
425 ns;00000000000000000000000000110111
431.25 ns;00000000000000000000000000111000
437.5 ns;00000000000000000000000000111001
443.75 ns;00000000000000000000000000111010
450 ns;00000000000000000000000000111011
456.25 ns;00000000000000000000000000111100
462.5 ns;00000000000000000000000000111101
468.75 ns;00000000000000000000000000111110
475 ns;00000000000000000000000000111111
481.25 ns;00000000000000000000000001000000
487.5 ns;00000000000000000000000001000001
493.75 ns;00000000000000000000000001000010
500 ns;00000000000000000000000001000011
506.25 ns;00000000000000000000000001000100
512.5 ns;00000000000000000000000001000101
518.75 ns;00000000000000000000000001000110
525 ns;00000000000000000000000001000111
531.25 ns;00000000000000000000000001001000
537.5 ns;00000000000000000000000001001001
543.75 ns;00000000000000000000000001001010
550 ns;00000000000000000000000001001011
556.25 ns;00000000000000000000000001001100
562.5 ns;00000000000000000000000001001101
568.75 ns;00000000000000000000000001001110
575 ns;00000000000000000000000001001111
581.25 ns;00000000000000000000000001010000
587.5 ns;00000000000000000000000001010001
593.75 ns;00000000000000000000000001010010
600 ns;00000000000000000000000001010011
606.25 ns;00000000000000000000000001010100
612.5 ns;00000000000000000000000001010101
618.75 ns;00000000000000000000000001010110
